,DocNum,DocContent
10,11,"['In 2008 Modi offered land in Gujarat to Tata Motors to set up a plant manufacturing the Nano after a popular agitation had forced the company to move out of West Bengal.', 'Mike McCahill of The Guardian remarked, ""Among an electric ensemble, Tapsee Pannu, Kirti Kulhari and Andrea Tariang give unwavering voice to the girls’ struggles; Amitabh Bachchan brings his moral authority to bear as their sole legal ally.', 'Salim Khan also introduced Bachchan to director Manmohan Desai with whom he formed a long and successful association, alongside Prakash Mehra and Yash Chopra.', ""The RSS provided organisational support to the BJP's electoral campaigns, while the Modi administration appointed a number of individuals affiliated with the RSS to prominent government positions."", 'In his first cabinet decision, Modi set up a team to investigate black money.', 'Raj Singh Dungarpur is credited for the selection of Tendulkar for the Indian tour of Pakistan in late 1989, after one first class season.', 'The newspaper published a series of articles in which Mann offered detailed analyses of the music, lending it respectability.', ""In May, Lennon and McCartney traveled to New York for the public unveiling of the Beatles' new business venture, Apple Corps."", 'During the riots, Modi said that ""What is happening is a chain of action and reaction.""', ""On the other hand, I would be stupid to pretend that drugs didn't figure quite heavily in the Beatles' lives at that time\xa0... they knew that I, in my schoolmasterly role, didn't approve\xa0... Not only was I not into it myself, I couldn't see the need for it; and there's no doubt that, if I too had been on dope, Pepper would never have been the album it was.""]"
11,12,"['In the following ODI series against Sri Lanka, Tendulkar was sidelined due to injury.', 'The then-President of Afghanistan awarded him the Order of Afghanistan in 1991 following the shooting of Khuda Gawah there.', 'The songs on which Starr received co-writing credit before 1968, such as ""What Goes On"" and ""Flying"", were also Northern Songs copyrights.', 'While campaigning for the 2012 assembly elections, Modi made extensive use of holograms and other technologies allowing him to reach a large number of people, something he would repeat in the 2014 general election.', 'Modi launched Ujjwala scheme to provide free LPG connection to rural households.', 'Modi had an early gift for rhetoric in debates, and his teachers and students noted this.', ""Time named them among the 20th century's 100 most important people."", 'A poll conducted by The Times of India in May 2017 showed 77% of the respondents rated Modi as ""very good"" and ""good"".', 'The organisation noted that ""Many people in the western world will not have heard of \xa0...  is a reflection of the huge popularity of Indian films.""', 'Five weeks later, engineer Glyn Johns, whom Lewisohn describes as Get Back\'s ""uncredited producer"", began work assembling an album, given ""free rein"" as the band ""all but washed their hands of the entire project"".']"
12,13,"['He established financial and technology parks in Gujarat and during the 2007 Vibrant Gujarat summit, real-estate investment deals worth ₹6.6\xa0trillion were signed.', ""In April 2009, Starr performed three songs with McCartney at a benefit concert held at New York's Radio City Music Hall and organised by McCartney."", ""He was also declared winner of the Time magazine reader's poll for Person of the Year in 2014 and 2016."", 'The first time I had acid, it just opened up something in my head that was inside of me, and I realized a lot of things.', 'Like we know from Prakash Mehra movies, into each life some Bachchan must fall.', 'Tendulkar scored 326 (not out) in this innings and scored over a thousand runs in the tournament.', 'Dostana proved to be the top-grossing film of 1980.', 'The newspaper published a series of articles in which Mann offered detailed analyses of the music, lending it respectability.', 'These activities included a Hindu religious conversion programme, a campaign against the alleged Islamic practice of ""Love Jihad"", and attempts to celebrate Nathuram Godse, the assassin of Mahatma Gandhi, by members of the right wing Hindu Mahasabha.', 'On 29 September 2016, the Indian Army stated that it had conducted a surgical strike on terror launchpads in Azad Kashmir.']"
13,14,"['The cricketer is also known to celebrate Ganesh Chaturthi at home and frequently visits temples during night when it is calm and quiet.', 'The Bharatiya Mazdoor Sangh, a constituent of the Sangh Parivar, stated that the underlying motivation of labour reforms favoured corporations over labourers.', 'Gould observes: ""The more traditional sound of strings allowed for a fresh appreciation of their talent as composers by listeners who were otherwise allergic to the din of drums and electric guitars.""', ""In 2010, he donated ₹1.1\xa0million to Resul Pookutty's foundation for a medical centre at Kochi, and he has given ₹250,000 ($4,678) to the family of Delhi policeman Subhash Chand Tomar who died after succumbing to injuries during a protest against gang-rape after the 2012 Delhi gang rape case."", 'His administration has been criticised for failing to significantly improve health, poverty and education indices in the state.', 'There is a temple in Kolkata, where Amitabh is worshipped as a God.', 'The Modi administration tried to attract foreign investment in the Indian economy from several sources, especially in East Asia, with the use of slogans such as ""Make in India"" and ""Digital India"".', 'I Love You"".', 'Lennon was shot and killed in December 1980, and Harrison died of lung cancer in November 2001.', 'Public irrigation measures in central and southern Gujarat, such as the Sardar Sarovar Dam, were less successful.']"
14,15,"['He is widely regarded as one of the greatest batsmen in the history of cricket.', ""Martin's first recording session with the Beatles took place at EMI's Abbey Road Studios in London on 6 June 1962."", 'They were inducted into the Rock and Roll Hall of Fame in 1988.', ""Paa, which released at the end of 2009 was a highly anticipated project as it saw him playing his own son Abhishek's Progeria-affected 13-year-old son, and it opened to favourable reviews, particularly towards Bachchan's performance and was one of the top-grossing films of 2009."", ""Vivekananda has been described as a large influence in Modi's life."", 'After the rehearsals, the band could not agree on a location to film a concert, rejecting several ideas, including a boat at sea, a lunatic asylum, the Tunisian desert, and the Colosseum.', 'The film, directed and written by Manoj Kumar, addressed themes of honesty in the face of oppression and financial and emotional hardship and was the top-earning film of 1974.', 'Historians and former members of the ICHR, including those sympathetic to the BJP, questioned his credentials as a historian, and stated that the appointment was part of an agenda of cultural nationalism.', ""Modi's family belonged to the Modh-Ghanchi-Teli (oil-presser) community, which is categorised as an Other Backward Class by the Indian government."", 'The government also passed a bill increasing the control that it had over the appointment of judges, and reducing that of the judiciary.']"
15,16,"['In 2015, the Indian parliament ratified a land exchange deal with Bangladesh about the India–Bangladesh enclaves, which had been initiated by the government of Manmohan Singh.', ""The money spent on social programmes declined from 14.6% of GDP during the Congress government to 12.6% during Modi's first year in office."", 'When the Stones began to fill stadium-sized venues, or larger, they ran into the problem of the audience no longer being able to see them.', 'The film became a major hit at the box office in 1975, ranking in at number four.', 'Modi only attended Hindu religious ceremonies, and had prominent associations with Hindu religious leaders.', 'His performance in Aks won him his first Filmfare Critics Award for Best Actor.', 'He is married to actress Jaya Bhaduri.', 'Various national and international figures from cricket, politics, Bollywood and other fields spoke about him in a day-long Salaam Sachin Conclave organised by India Today.', ""His ancestors on his father's side came from a village called Babupatti, in the Raniganj tehsil, in the Pratapgarh district, in the present-day state of Uttar Pradesh, in India."", 'Tendulkar sponsors 200 underprivileged children every year through Apnalaya, a Mumbai-based NGO associated with his mother-in-law, Annabel Mehta.']"
16,17,"['His campaign included references to issues known to cause religious polarisation, including to Afzal Guru and the killing of Sohrabuddin Sheikh.', ""Vivek Sharma's Bhoothnath, in which he plays the title role as a ghost, was released on 9 May 2008."", 'The government signed agreements to improve land connectivity with Myanmar, through the state of Manipur.', 'He dedicated this century to his father.', 'France\'s highest civilian honour, the Knight of the Legion of Honour, was conferred upon him by the French Government in 2007 for his ""exceptional career in the world of cinema and beyond"".', 'Of their early writing experience, Richards said,', 'Salim-Javed soon discovered Bachchan and ""saw his talent, which most makers didn\'t.', ""Besides school cricket, he also played club cricket, initially representing John Bright Cricket Club in Bombay's premier club cricket tournament, the Kanga League, and later went on to play for the Cricket Club of India."", 'He was exceptional, a genius actor who was in films that weren\'t good.""', 'The Sardar Sarovar project only irrigated 4–6% of the area intended.']"
17,18,"['Sarkar Raj, the sequel of the 2005 film Sarkar, released in June 2008 and received a positive response at the box office.', 'The state government stated later that 790 Muslims and 254 Hindus were killed.', 'Tendulkar fell amid a batting collapse and the match referee, Clive Lloyd, awarded Sri Lanka the match after the crowd began rioting and throwing litter onto the field.', 'The film evoked a favourable response from critics and audiences alike.', 'During the first few months after the election, Modi made trips to a number of different countries to further the goals of his policy, and attended the BRICS, ASEAN, and G20 summits.', 'His illness made him feel weak both mentally and physically and he decided to quit films and venture into politics.', 'Tendulkar has consistently done well in Cricket World Cups.', 'They spent little time together and grew apart when Modi began two years of travel, including visits to Hindu ashrams.', 'This led to Bachchan being dubbed as ""angry young man"", a journalistic catchphrase which became a metaphor for the dormant rage, frustration, restlessness, sense of rebellion and anti-establishment disposition of an entire generation, prevalent in 1970s India.', ""A few years later he formed Bill Wyman's Rhythm Kings and began recording and touring again.""]"
18,19,"['We\'d turn him onto Chuck Berry and say, \'Look, it\'s all the same shit, man, and you can do it.\'""', ""Bachchan embraces the character's many idiosyncrasies, never once slipping into caricature while all along delivering big laughs thanks to his spot-on comic timing."", 'A review in Daily News and Analysis (DNA) summarised Bachchan\'s performance as ""The heart and soul of Piku clearly belong to Amitabh Bachchan who is in his elements.', 'As a child, Modi helped his father sell tea at the Vadnagar railway station, and said that he later ran a tea stall with his brother near a bus terminus.', ""Vivek Sharma's Bhoothnath, in which he plays the title role as a ghost, was released on 9 May 2008."", ""Since then Tendulkar's batting has tended to be less attacking."", 'He was again sworn in as Prime minister on 30 May 2019.', 'Mike McCahill of The Guardian remarked, ""Among an electric ensemble, Tapsee Pannu, Kirti Kulhari and Andrea Tariang give unwavering voice to the girls’ struggles; Amitabh Bachchan brings his moral authority to bear as their sole legal ally.', ""As reported by many Indian newspapers, a person hanged himself due to distress over Tendulkar's failure to reach his 100th century."", 'Under the Modi government these restrictions were gradually lifted.']"
19,20,"['Gujarat expanded the Jyotigram Yojana scheme, in which agricultural electricity was separated from other rural electricity; the agricultural electricity was rationed to fit scheduled irrigation demands, reducing its cost.', 'The move led to severe cash shortages, a steep decline in the Indian stock indices BSE SENSEX and NIFTY 50, and sparked widespread protests throughout the country.', 'In 2014, it was announced that he had recorded his voice and lent his image to the Hindi and English language versions of the TeachAIDS software, an international HIV/AIDS prevention education tool developed at Stanford University.', 'His other successes that year include Parvarish and Khoon Pasina.', ""After the elections Vajpayee called the violence in Gujarat a reason for the BJP's electoral defeat and said it had been a mistake to leave Modi in office after the riots."", 'Bachchan has denied the allegation.', 'He returned to form in the last Test scoring 41 and 86, one half century.', 'Bachchan was performing his own stunts in the film and one scene required him to fall onto a table and then on the ground.', '1 in the UK, and No\xa07 in the US.', 'Tendulkar took up cricket at the age of eleven, made his Test debut on 15 November 1989 against Pakistan in Karachi at the age of sixteen, and went on to represent Mumbai domestically and India internationally for close to twenty-four years.']"
20,21,"[""He looked the embodiment of India's famous opener, Gavaskar, and indeed was wearing a pair of his pads."", 'Bachchan turned producer during his temporary retirement period, setting up Amitabh Bachchan Corporation, Ltd. (ABCL) in 1996.', 'During the early part of his career, he was a more attacking batsman and frequently scored centuries at close to a run a ball.', ""On 10 May 1967, the day Jagger, Richards and Fraser were arraigned in connection with the Redlands charges, Jones' house was raided by police."", 'The coroner ruled the death an accidental carbitol overdose, although it was widely rumoured to be a suicide.', 'Released in early October, ""Love Me Do"" peaked at number seventeen on the Record Retailer chart.', 'During a band meeting in September, McCartney recommended that the band proceed with Magical Mystery Tour.', '23) and ""Almost Hear You Sigh"".', ""When the Beatles' studio albums were released on CD by EMI and Apple Corps in 1987, their catalogue was standardised throughout the world, establishing a canon of the twelve original studio LPs as issued in the UK plus the US LP version of Magical Mystery Tour."", 'As a result of their animosity, the Stones almost broke up.']"
21,22,"['Since the 1990s, new material has been less frequent.', 'During 1995–96, the project yielded a television miniseries, an eight-volume video set, and three two-CD/three-LP box sets featuring artwork by Klaus Voormann.', 'In late 2001, Mick Jagger released his fourth solo album, Goddess in the Doorway.', ""After the group's break-up in 1970, all four members enjoyed success as solo artists."", 'He met with some controversy over his attendance at Rajya Sabha proceedings.', 'Show, which showcased American acts with British Invasion artists.', 'They used this name until May, when they became the Silver Beetles, before undertaking a brief tour of Scotland as the backing group for pop singer and fellow Liverpudlian Johnny Gentle.', ""The band toured the UK three times in the first half of the year: a four-week tour that began in February, the Beatles' first nationwide, preceded three-week tours in March and May–June."", 'Chappell reportedly felt that Tendulkar would be more useful down the order, while the latter felt that he would be better off opening the innings, the role he had played for most of his career.', 'He founded the Harivansh Rai Bachchan Memorial Trust, named after his father, in 2013.']"
22,23,"['1 in both the UK and US.', 'He was dismissed without scoring in one of the two one-day games he played, and scored 36 in the other.', 'First aired on Boxing Day to an audience of approximately 15 million, the Magical Mystery Tour film brought the group their first critical failure in the UK, largely directed by McCartney.', 'By necessity he joined with booking agent Eric Easton to secure record financing and assistance booking venues.', 'His performance in Piku, without doubt, finds a place among the top 10 in his illustrious career.""', ""The focus was on the clash between Tendulkar, the world's most dominating batsman and Shane Warne, the world's leading spinner, both at the peak of their careers, clashing in a Test series."", '44 in the UK and No.', 'Except for the Red and Blue albums, EMI deleted all its other Beatles compilations – including the Hollywood Bowl record – from its catalogue.', 'Martin initially selected the Starr version of ""Love Me Do"" for the band\'s first single, though subsequent re-pressings featured the White version, with Starr on tambourine.', 'Struggling to compete with the volume of sound generated by screaming fans, the band had grown increasingly bored with the routine of performing live.']"
23,24,"['The destructive pair reduced one bowler to tears and made the rest of the opposition unwilling to continue the game.', 'The other, released on 15 August 1975, was Sholay, which became the highest-grossing film ever in India at the time, in which Bachchan played the role of Jaidev.', 'The album was preceded by the single ""Paperback Writer"", backed by ""Rain"".', 'One week later, Koschmider had McCartney and Best arrested for arson after they set fire to a condom in a concrete corridor; the authorities deported them.', 'An estimated 490,000 people attended the concert.', 'Blackhill Enterprises stage manager Sam Cutler introduced the Rolling Stones on to the stage by announcing: ""Let\'s welcome the Greatest Rock and Roll Band in the World.""', 'The Stones embarked on their Latin American tour in February 2016.', ""Originally intended for a one-hour television programme to be called Beatles at Work, in the event much of the album's content came from studio work beginning in January 1969, many hours of which were captured on film by director Michael Lindsay-Hogg."", 'Sachin Tendulkar captained Mumbai Indians in 4 league matches of second edition of the league.', 'Harrison did not renew his contract with Northern Songs when it ended, signing instead with Apple Publishing while retaining the copyright to his work from that point on.']"
24,25,"['The group were less involved with Yellow Submarine, which only featured the band appearing as themselves for a short live-action segment.', 'He later recalled: ""I immediately liked what I heard.', 'Oldham described the first batch as ""soppy and imitative"".', 'One week later, Koschmider had McCartney and Best arrested for arson after they set fire to a condom in a concrete corridor; the authorities deported them.', 'He holds a 3.4% equity in Stampede Capital, a financial technology firm specialising in cloud computing for financial markets.', 'The PMO has also issued a letter of acknowledgement which states: ""Prime Minister acknowledges this thoughtful gesture and conveys his gratitude.', 'They are also credited with changing the ""whole business model of popular music"".', 'The Beatles won the 1971 Academy Award for Best Original Song Score for the film Let It Be (1970).', 'Chappell subsequently resigned as coach but said that this affair had no bearing on his decision and that he and Tendulkar were on good terms.', ""The subsequent album, Beggars Banquet, an eclectic mix of country and blues-inspired tunes, marked the band's return to their roots.""]"
25,26,"['Mike McCahill of The Guardian remarked, ""Among an electric ensemble, Tapsee Pannu, Kirti Kulhari and Andrea Tariang give unwavering voice to the girls’ struggles; Amitabh Bachchan brings his moral authority to bear as their sole legal ally.', 'The government also tried to reconstitute the Wildlife board such that it no longer had representatives from non-governmental organisations: however, this move was prevented by the Supreme Court.', ""At one point Meenal hangs by Bachchan's elbow, words entirely unnecessary."", 'Other organisations affected included the Sierra Club and Avaaz.', 'The NSCM-K responded with a series of attacks, which killed 18 people.', 'I always saw him as an aural Salvador Dalí, rather than some drug-ridden record artist.', 'Cricinfo columnist Sambit Bal has described him as the ""most wholesome batsman of his time"".', 'He made a fifty in the third Test and 109 in the fourth, as India won the series 2–0 and regained the Border-Gavaskar Trophy.', 'The BCCI President Sharad Pawar offered the captaincy to Tendulkar, who instead recommended Mahendra Singh Dhoni to take over the reins.', 'Tendulkar has been part of most wins by an Indian in both Test cricket with 72 wins and ODIs with 234 wins and is third in the world in ODI victories after Ricky Ponting (262 wins), Mahela Jayawardene (241 wins).']"
26,27,"['On 18 May 2017, Sirius XM Radio launched a 24/7 radio channel, The Beatles Channel.', ""This time, Sachin, apparently unobserved, played much better and was accepted at Achrekar's academy."", 'Many other honours for his achievements were conferred upon him at several International Film Festivals, including the Lifetime Achievement Award at the 2010 Asian Film Awards.', ""Gujarat also had a high rate of economic growth in the 1990s, before Modi took office, and scholars have stated that growth did not accelerate during Modi's tenure."", 'Sachin rested himself for the ODI tri-series in Bangladesh in 2010, but played in the subsequent Test series.', ""In accordance with Ghanchi tradition, Modi's marriage was arranged by his parents when he was a child."", ""He also played in the Irani Trophy for Mumbai, where he scored 140* against Rest of India and helped Mumbai to score 409 in reply to Rest of India's 526."", 'As an actor, he continued to perform in a range of characters, receiving critical praise for his performances in Aks (2001), Aankhen (2002), Kaante (2002), Khakee (2004) and Dev (2004).', 'Independent sources put the death toll at over 2000.', 'He secured the Man of the Match award.']"
27,28,"['Though only 5ft 5in tall, he was still able to control without difficulty short deliveries from the English pacemen.', 'Epstein arranged for a $40,000 US marketing campaign.', 'In the elections, the BJP won 127 seats in the 182-member assembly.', 'In 2010 edition of Indian Premier League, Mumbai Indians reached the final of the tournament.', ""Questions about Modi's relationship with Muslims were also raised by many Western nations during his tenure as chief minister."", ""In 2013, Tendulkar was listed at 51st position in Forbes' list of world's highest-paid athletes, with his total earnings estimated to be US$22\xa0million."", 'The National Health Mission, which included public health programmes targeted at these indices received nearly 20% less funds in 2015 than in the previous year.', 'At this time he became pessimistic, expressing concern with how a new film would be received, and stating before every release, ""Yeh film to flop hogi!""', 'Bachchan was named in the Panama Papers and Paradise Papers, leaked confidential documents relating to offshore investment.', 'In early 2009, India revisited Sri Lanka for five ODIs, as the Pakistan series had been cancelled due to the security situation in Pakistan and the attacks in Mumbai.']"
